DateTime,AddedIPs,RemovedIPs
1478190069,118,104
1478195468,107,99
1478200872,175,145
1478206870,163,113
1478212271,123,114
1478217672,220,134
1478223073,60,60
1478229070,86,140
1478236268,96,147
1478241666,200,239
1478248273,82,109
1478254265,115,132
1478260868,138,147
1478266866,122,140
1478274065,68,93
1478278865,38,55
1478283668,66,77
1478289068,92,81
1478294473,201,167
1478299867,123,111
1478305868,121,76
1478310669,181,110
1478316675,110,92
1478322671,101,112
1478330474,180,256
1478335874,117,96
1478343079,100,135
1478349068,203,122
1478355078,109,147
1478362273,99,131
1478366472,53,60
1478371873,220,140
1478377887,137,99
1478383870,84,79
1478389271,149,145
1478394074,112,104
1478400071,102,148
1478407272,155,220
1478412672,91,109
1478417466,72,133
1478422870,119,115
1478427669,114,109
1478433671,104,100
1478439068,84,92
1478444468,164,152
1478449264,126,91
1478455271,88,99
1478460068,74,68
1478465469,173,95
1478471469,145,145
1478476270,96,60
1478482271,189,144
1478487674,153,142
1478493074,97,95
1478499074,121,205
1478505675,95,122
1478511671,118,161
1478517074,67,52
1478521873,219,189
1478527869,148,169
1478535069,82,118
1478542270,182,142
1478547071,84,83
1478552480,157,118
1478557277,186,161
1478562672,143,90
1478568672,134,103
1478574079,178,158
1478580073,99,94
1478587871,139,155
1478595072,148,223
1478601070,168,168
1478607068,124,83
1478614869,131,197
1478621474,105,148
1478628672,117,142
1478632869,146,135
1478638271,183,132
1478643669,119,80
1478649069,147,74
1478656272,182,117
1478663472,131,175
1478671273,178,259
1478677878,143,152
1478685075,130,185
1478691674,130,186
1478698870,119,135
1478705471,123,146
1478710870,164,174
1478716268,97,119
1478721068,123,90
1478726468,181,113
1478731874,145,75
1478738466,167,116
1478744474,93,105
1478751077,191,191
1478758273,143,193
1478763676,109,104
1478767876,142,146
1478774489,121,82
1478780474,110,161
1478787672,162,269
1478793666,148,191
1478798467,70,60
1478804471,192,174
1478814669,268,202
1478820072,103,61
1478826072,233,186
1478832073,133,153
1478839274,116,112
1478845873,198,143
1478853072,130,160
1478859670,86,141
1478865668,187,188
1478871668,102,142
1478878269,151,177
1478883666,75,96
1478888466,87,83
1478894471,164,97
1478899872,239,150
1478905872,221,129
1478911276,171,84
1478919675,187,188
1478927473,124,241
1478934071,109,175
1478940066,154,270
1478946669,145,164
1478952665,83,90
1478959264,143,167
1478964068,50,62
1478970068,105,137
1478974868,235,146
1478980874,170,110
1478985672,115,93
1478991673,153,116
1478997075,119,104
1479003077,148,127
1479010273,169,151
1479017487,222,188
1479022872,127,138
1479030670,154,272
1479036676,98,130
1479042666,117,151
1479047468,76,105
1479052873,190,201
1479057670,149,103
1479063679,161,82
1479069078,254,136
1479075079,108,111
1479082284,187,152
1479087679,126,110
1479095479,245,219
1479102677,132,164
1479109873,196,213
1479117072,148,154
1479123673,157,129
1479132074,210,309
1479138673,125,213
1479145268,229,208
1479151869,176,91
1479157867,173,136
1479165069,305,231
1479173474,203,202
1479180673,91,146
1479186674,188,183
1479194479,140,169
1479201679,147,169
1479208281,236,177
1479214271,129,185
1479220869,130,207
1479228070,115,96
1479232875,195,129
1479238879,173,103
1479244281,238,201
1479251478,140,138
1479259290,232,267
1479266479,155,143
1479273679,195,191
1479280873,242,247
1479288682,190,223
1479295877,191,204
1479302477,187,163
1479309677,167,178
1479316281,158,104
1479323485,391,214
1479331284,148,127
1479339082,210,236
1479346282,172,232
1479352875,118,151
1479359503,223,229
1479367279,180,161
1479374480,231,190
1479381687,148,146
1479388286,150,221
1479396083,252,257
1479403285,202,222
1479410481,349,187
1479418880,170,159
1479426087,220,220
1479433883,305,317
1479441682,178,213
1479449484,207,296
1479457880,157,168
1479464474,128,212
1479472279,236,308
1479478884,221,206
1479486683,107,100
1479493286,205,181
1479501084,184,209
1479507083,96,123
1479514278,251,227
1479519680,128,133
1479527478,192,200
1479534678,127,141
1479541878,132,178
1479548478,194,215
1479555679,206,208
1479562876,98,120
1479570080,176,176
1479577279,149,148
1479582679,184,147
1479589877,221,196
1479594684,127,131
1479600076,101,96
1479606077,176,216
1479613277,102,119
1479618677,137,157
1479625284,181,202
1479631273,145,140
1479636674,113,133
1479641479,48,55
1479647473,204,152
1479652872,73,105
1479659477,173,169
1479664882,125,31
1479670876,232,210
1479677480,182,146
1479682875,88,96
1479688873,185,159
1479694881,125,116
1479702679,168,194
1479708675,74,126
1479715871,248,235
1479723080,169,138
1479730881,191,227
1479738082,141,141
1479744677,123,172
1479757277,284,281
1479762075,140,112
1479767481,150,104
1479772883,104,68
1479778280,254,153
1479784878,92,90
1479792078,147,201
1479799279,89,135
1479805871,242,250
1479813080,90,120
1479820276,168,250
1479827479,133,143
1479835279,152,155
1479841285,149,97
1479846682,235,215
1479853279,140,142
1479859877,108,116
1479866475,164,226
1479872470,105,100
1479879671,150,170
1479886873,103,92
1479893471,227,256
1479899475,111,125
1479904277,73,67
1479910275,179,148
1479915072,92,78
1479921076,226,125
1479928274,157,121
1479935475,235,225
1479940274,169,128
1479946273,125,121
1479952875,196,159
1479958877,160,139
1479966078,193,200
1479973881,125,132
1479981675,251,336
1479987679,163,182
1479995478,127,141
1480001480,152,177
1480007479,107,97
1480012879,291,147
1480018280,112,85
1480025488,286,213
1480033291,255,190
1480040487,147,134
1480047687,237,204
1480055481,174,295
1480062684,103,131
1480069281,190,263
1480084282,273,328
1480090886,147,197
1480097484,114,112
1480101685,123,99
1480108287,137,109
1480114885,306,228
1480120886,228,139
1480128685,129,150
1480136480,226,190
1480144281,152,233
1480150278,109,111
1480157489,108,150
1480164679,229,269
1480171878,94,118
1480177886,174,166
1480183281,128,118
1480189286,177,156
1480194691,112,74
1480201891,117,101
1480208486,279,256
1480215083,160,125
1480222279,103,105
1480230083,223,245
1480236679,161,212
1480243285,72,94
1480251088,199,207
1480257683,213,198
1480264879,82,110
1480272076,428,181
1480279884,150,152
1480287088,180,138
1480295483,168,213
1480303885,242,285
1480311083,82,142
1480318282,187,279
1480325488,111,147
1480332084,149,153
1480339283,131,121
1480346482,292,285
1480353082,160,136
1480360276,169,125
1480367484,242,229
1480375283,200,216
1480381886,111,70
1480390282,303,293
1480397488,178,186
1480404689,81,121
1480411885,243,227
1480418487,150,189
1480426288,119,136
1480433480,173,249
1480440077,168,227
1480446082,190,123
1480451484,140,109
1480462883,306,242
1480470684,147,136
1480477880,117,105
1480492884,426,413
1480500078,194,227
1480507286,98,150
1480513880,130,191
1480521078,98,113
1480527681,328,236
1480534883,200,176
1480541485,193,139
1480547485,189,167
1480554685,170,152
1480560085,114,120
1480567882,128,183
1480575679,228,244
1480582881,114,168
1480587679,111,164
1480594885,163,151
1480601475,139,213
1480608674,84,93
1480613478,103,97
1480618877,307,227
1480624875,175,101
1480630279,86,65
1480635675,171,150
1480642881,164,160
1480650682,137,155
1480657878,82,108
1480664476,292,290
1480672284,195,195
1480679478,152,205
1480686679,115,146
1480693872,152,246
1480700477,94,73
1480705879,217,70
1480710681,267,193
1480716682,201,136
1480724485,104,105
1480732880,223,225
1480741282,176,216
1480748482,84,169
1480755682,243,332
1480762279,156,193
1480768276,99,112
1480774279,147,166
1480780880,131,141
1480786881,180,125
1480792877,124,141
1480799482,241,190
1480806676,194,210
1480813876,132,136
1480821675,177,176
1480828876,136,168
1480836079,111,117
1480842678,125,120
1480850480,222,241
1480857679,184,173
1480864278,148,240
1480870276,96,106
1480877477,103,130
1480884075,179,135
1480890680,235,217
1480896077,175,124
1480902079,108,81
1480908078,91,138
1480915273,209,170
1480922480,158,213
1480936273,209,254
1480942878,226,231
1480949475,115,124
1480962682,277,293
1480968080,156,129
1480973484,132,84
1480978882,96,81
1480984879,277,197
1480990280,172,185
1480998077,122,165
1481005875,234,204
1481012476,109,108
1481019076,177,169
1481026881,115,104
1481034077,233,329
1481040672,158,173
1481047280,96,114
1481052677,214,137
1481058080,148,90
1481064077,163,135
1481071273,143,102
1481078473,213,261
1481086277,153,199
1481093466,103,212
1481099474,150,177
1481104877,81,117
1481110280,126,133
1481116276,81,93
1481121073,55,61
1481126478,249,233
1481131873,105,136
1481137274,141,106
1481142675,123,117
1481148076,146,127
1481154077,133,98
1481160677,148,128
1481167275,86,109
1481173874,220,198
1481179869,130,188
1481187068,95,125
